Register writeback output (hexadecimal)
PC 0070:bne     | ---
PC 0024:addi    | r05=a       
PC 0028:slti    | r06=1       
PC 002c:mul     | r11=9d0aa054
PC 0030:add     | r11=520f9381
PC 0034:mul     | r12=3e7d767d
PC 0038:add     | r12=f38269aa
PC 003c:mul     | r13=9b674d02
PC 0040:add     | r13=506c402f
PC 0044:mul     | r02=d06bbe73
PC 0048:add     | r02=8570b1a0
PC 004c:srli    | r11=520f9381
PC 0050:sw      | ---
PC 0054:srli    | r12=f38269aa
PC 0058:sw      | ---
PC 005c:srli    | r13=506c402f
PC 0060:sw      | ---
PC 0064:srli    | r14=8570b1a0
PC 0068:sw      | ---
PC 006c:addi    | r01=1140    
PC 0070:bne     | ---
PC 0024:addi    | r05=b       
PC 0028:slti    | r06=1       
PC 002c:mul     | r11=d87d8b20
PC 0030:add     | r11=8d827e4d
PC 0034:mul     | r12=bbc219  
PC 0038:add     | r12=b5c0b546
PC 003c:mul     | r13=a633462e
PC 0040:add     | r13=5b38395b
PC 0044:mul     | r02=398f3eef
PC 0048:add     | r02=ee94321c
PC 004c:srli    | r11=8d827e4d
PC 0050:sw      | ---
PC 0054:srli    | r12=b5c0b546
PC 0058:sw      | ---
PC 005c:srli    | r13=5b38395b
PC 0060:sw      | ---
PC 0064:srli    | r14=ee94321c
PC 0068:sw      | ---
PC 006c:addi    | r01=1160    
PC 0070:bne     | ---
PC 0024:addi    | r05=c       
PC 0028:slti    | r06=1       
PC 002c:mul     | r11=e228c5ac
PC 0030:add     | r11=972db8d9
PC 0034:mul     | r12=5b74de75
PC 0038:add     | r12=1079d1a2
PC 003c:mul     | r13=95e38d1a
PC 0040:add     | r13=4ae88047
PC 0044:mul     | r02=81c7962b
PC 0048:add     | r02=36cc8958
PC 004c:srli    | r11=972db8d9
PC 0050:sw      | ---
PC 0054:srli    | r12=1079d1a2
PC 0058:sw      | ---
PC 005c:srli    | r13=4ae88047
PC 0060:sw      | ---
PC 0064:srli    | r14=36cc8958
PC 0068:sw      | ---
PC 006c:addi    | r01=1180    
PC 0070:bne     | ---
PC 0024:addi    | r05=d       
PC 0028:slti    | r06=1       
PC 002c:mul     | r11=9b103bf8
PC 0030:add     | r11=50152f25
PC 0034:mul     | r12=a1c90791
PC 0038:add     | r12=56cdfabe
PC 003c:mul     | r13=fa936dc6
PC 0040:add     | r13=af9860f3
PC 0044:mul     | r02=184ee027
PC 0048:add     | r02=cd53d354
PC 004c:srli    | r11=50152f25
PC 0050:sw      | ---
PC 0054:srli    | r12=56cdfabe
PC 0058:sw      | ---
PC 005c:srli    | r13=af9860f3
PC 0060:sw      | ---
PC 0064:srli    | r14=cd53d354
PC 0068:sw      | ---
PC 006c:addi    | r01=11a0    
PC 0070:bne     | ---
PC 0024:addi    | r05=e       
PC 0028:slti    | r06=1       
PC 002c:mul     | r11=22e19a04
PC 0030:add     | r11=d7e68d31
PC 0034:mul     | r12=c89b396d
PC 0038:add     | r12=7da02c9a
PC 003c:mul     | r13=25d5f432
PC 0040:add     | r13=dadae75f
PC 0044:mul     | r02=f3b7f8e3
PC 0048:add     | r02=a8bcec10
PC 004c:srli    | r11=d7e68d31
PC 0050:sw      | ---
PC 0054:srli    | r12=7da02c9a
PC 0058:sw      | ---
PC 005c:srli    | r13=dadae75f
PC 0060:sw      | ---
PC 0064:srli    | r14=a8bcec10
PC 0068:sw      | ---
PC 006c:addi    | r01=11c0    
PC 0070:bne     | ---
PC 0024:addi    | r05=f       
PC 0028:slti    | r06=1       
PC 002c:mul     | r11=60004bd0
PC 0030:add     | r11=15053efd
PC 0034:mul     | r12=1a6d3009
PC 0038:add     | r12=cf722336
PC 003c:mul     | r13=2b21ec5e
PC 0040:add     | r13=e026df8b
PC 0044:mul     | r02=3caa7c5f
PC 0048:add     | r02=f1af6f8c
PC 004c:srli    | r11=15053efd
PC 0050:sw      | ---
PC 0054:srli    | r12=cf722336
PC 0058:sw      | ---
PC 005c:srli    | r13=e026df8b
PC 0060:sw      | ---
PC 0064:srli    | r14=f1af6f8c
PC 0068:sw      | ---
PC 006c:addi    | r01=11e0    
PC 0070:bne     | ---
PC 0024:addi    | r05=10      
PC 0028:slti    | r06=0       
PC 002c:mul     | r11=fb517d5c
PC 0030:add     | r11=b0567089
PC 0034:mul     | r12=4ffb6765
PC 0038:add     | r12=5005a92 
PC 003c:mul     | r13=71fde24a
PC 0040:add     | r13=2702d577
PC 0044:mul     | r02=35ec69b 
PC 0048:add     | r02=b863b9c8
PC 004c:srli    | r11=b0567089
PC 0050:sw      | ---
PC 0054:srli    | r12=5005a92 
PC 0058:sw      | ---
PC 005c:srli    | r13=2702d577
PC 0060:sw      | ---
PC 0064:srli    | r14=b863b9c8
PC 0068:sw      | ---
PC 006c:addi    | r01=1200    
PC 0070:bne     | ---
PC 0074:wfi     | ---
