Register writeback output (hexadecimal)
PC 0080:mul     | r13=77f6b522
PC 0084:add     | r13=8347045f
PC 0088:mul     | r02=aa80a1e3
PC 008c:add     | r02=b5d0f120
PC 0090:srli    | r11=7f13    
PC 0094:srli    | r12=f69d    
PC 0098:srli    | r13=8347    
PC 009c:srli    | r14=b5d0    
PC 00a0:addi    | r01=cd      
PC 00a4:bne     | ---
PC 0068:addi    | r05=b       
PC 006c:slti    | r06=1       
PC 0070:mul     | r11=fb444ca0
PC 0074:add     | r11=6949bdd 
PC 0078:mul     | r12=5ef5f969
PC 007c:add     | r12=6a4648a6
PC 0080:mul     | r13=d587ec0e
PC 0084:add     | r13=e0d83b4b
PC 0088:mul     | r02=2f06291f
PC 008c:add     | r02=3a56785c
PC 0090:srli    | r11=694     
PC 0094:srli    | r12=6a46    
PC 0098:srli    | r13=e0d8    
PC 009c:srli    | r14=3a56    
PC 00a0:addi    | r01=dd      
PC 00a4:bne     | ---
PC 0068:addi    | r05=c       
PC 006c:slti    | r06=1       
PC 0070:mul     | r11=5d7432ec
PC 0074:add     | r11=68c48229
PC 0078:mul     | r12=bee0d285
PC 007c:add     | r12=ca3121c2
PC 0080:mul     | r13=1d23bcba
PC 0084:add     | r13=28740bf7
PC 0088:mul     | r02=3db9a31b
PC 008c:add     | r02=4909f258
PC 0090:srli    | r11=68c4    
PC 0094:srli    | r12=ca31    
PC 0098:srli    | r13=2874    
PC 009c:srli    | r14=4909    
PC 00a0:addi    | r01=ed      
PC 00a4:bne     | ---
PC 0068:addi    | r05=d       
PC 006c:slti    | r06=1       
PC 0070:mul     | r11=9f100f8 
PC 0074:add     | r11=15415035
PC 0078:mul     | r12=20b461  
PC 007c:add     | r12=b71039e 
PC 0080:mul     | r13=cfcd3326
PC 0084:add     | r13=db1d8263
PC 0088:mul     | r02=aeddebd7
PC 008c:add     | r02=ba2e3b14
PC 0090:srli    | r11=1541    
PC 0094:srli    | r12=b71     
PC 0098:srli    | r13=db1d    
PC 009c:srli    | r14=ba2e    
PC 00a0:addi    | r01=fd      
PC 00a4:bne     | ---
PC 0068:addi    | r05=e       
PC 006c:slti    | r06=1       
PC 0070:mul     | r11=f20e22c4
PC 0074:add     | r11=fd5e7201
PC 0078:mul     | r12=3c675afd
PC 007c:add     | r12=47b7aa3a
PC 0080:mul     | r13=c36b1b52
PC 0084:add     | r13=cebb6a8f
PC 0088:mul     | r02=d3ca9f53
PC 008c:add     | r02=df1aee90
PC 0090:srli    | r11=fd5e    
PC 0094:srli    | r12=47b7    
PC 0098:srli    | r13=cebb    
PC 009c:srli    | r14=df1a    
PC 00a0:addi    | r01=10d     
PC 00a4:bne     | ---
PC 0068:addi    | r05=f       
PC 006c:slti    | r06=1       
PC 0070:mul     | r11=f4a0c450
PC 0074:add     | r11=fff1138d
PC 0078:mul     | r12=7aa14259
PC 007c:add     | r12=85f19196
PC 0080:mul     | r13=a4f4013e
PC 0084:add     | r13=b044507b
PC 0088:mul     | r02=5c68198f
PC 008c:add     | r02=67b868cc
PC 0090:srli    | r11=fff1    
PC 0094:srli    | r12=85f1    
PC 0098:srli    | r13=b044    
PC 009c:srli    | r14=67b8    
PC 00a0:addi    | r01=11d     
PC 00a4:bne     | ---
PC 0068:addi    | r05=10      
PC 006c:slti    | r06=0       
PC 0070:mul     | r11=e98bd19c
PC 0074:add     | r11=f4dc20d9
PC 0078:mul     | r12=5851a675
PC 007c:add     | r12=63a1f5b2
PC 0080:mul     | r13=985a30ea
PC 0084:add     | r13=a3aa8027
PC 0088:mul     | r02=a36b768b
PC 008c:add     | r02=aebbc5c8
PC 0090:srli    | r11=f4dc    
PC 0094:srli    | r12=63a1    
PC 0098:srli    | r13=a3aa    
PC 009c:srli    | r14=aebb    
PC 00a0:addi    | r01=12d     
PC 00a4:bne     | ---
PC 00a8:wfi     | ---
